zip_code,P1_001N
83856,6429
98001,36073
98002,38474
98003,51751
98004,39136
98005,20961
98006,40871
98007,29476
98008,26518
98010,5699
98011,27897
98012,74956
98014,7651
98019,12284
98020,20236
98021,34001
98022,22874
98023,51713
98024,5141
98025,40
98026,38610
98027,29089
98028,23914
98029,31432
98030,38933
98031,43055
98032,38744
98033,41763
98034,51464
98036,42248
98037,29584
98038,37487
98039,2915
98040,25748
98042,49031
98043,21285
98045,15749
98047,6966
98050,223
98051,3802
98052,77176
98053,22523
98055,24458
98056,36344
98057,13493
98058,43630
98059,41672
98065,16292
98068,530
98070,11055
98072,24939
98074,30534
98075,26022
98077,13522
98087,40711
98092,50258
98101,16237
98102,25066
98103,53056
98104,16157
98105,49151
98106,26295
98107,28557
98108,25009
98109,34551
98110,24825
98112,23152
98115,54322
98116,27691
98117,35608
98118,47504
98119,26238
98121,21411
98122,41646
98125,42965
98126,23727
98133,50720
98134,1216
98136,16424
98144,32178
98146,28845
98148,11092
98154,0
98155,35948
98158,0
98164,176
98166,22152
98168,36389
98174,0
98177,20160
98178,26122
98188,27851
98195,3710
98198,38727
98199,22549
98201,30421
98203,37491
98204,44810
98207,741
98208,60019
98220,612
98221,22853
98222,41
98223,45139
98224,298
98225,49078
98226,47011
98229,33664
98230,18754
98232,4053
98233,16034
98235,436
98236,6157
98237,4304
98238,83
98239,7394
98240,3118
98241,2344
98243,340
98244,3134
98245,4372
98247,9067
98248,26784
98249,5056
98250,8632
98251,5071
98252,10645
98253,2037
98255,213
98256,446
98257,4467
98258,51995
98260,5844
98261,2752
98262,934
98263,186
98264,23170
98266,4097
98267,545
98270,51969
98271,32068
98272,31127
98273,31243
98274,18949
98275,21642
98276,1434
98277,41517
98278,1496
98279,651
98280,474
98281,1191
98282,17356
98283,473
98284,27293
98286,253
98288,344
98290,37535
98292,24098
98294,7494
98295,2899
98296,27713
98297,142
98303,1302
98304,810
98305,481
98310,21580
98311,28059
98312,33405
98314,991
98315,5482
98320,1341
98321,16924
98323,877
98325,1837
98326,1374
98327,10222
98328,10727
98329,10960
98330,76
98331,5952
98332,20704
98333,3921
98335,27307
98336,906
98337,9653
98338,30147
98339,3805
98340,2707
98342,1571
98345,576
98346,10402
98349,5000
98350,404
98351,1330
98353,25
98354,8264
98355,626
98356,2179
98357,1708
98358,995
98359,5358
98360,15332
98361,1000
98362,23571
98363,14086
98364,72
98365,5058
98366,36969
98367,30981
98368,16567
98370,32857
98371,23965
98372,26652
98373,28165
98374,45367
98375,33316
98376,2130
98377,2103
98380,5297
98381,318
98382,30505
98383,21565
98385,455
98387,51630
98388,7096
98390,11727
98391,56427
98392,3092
98394,1194
98396,649
98402,8053
98403,8341
98404,35172
98405,24617
98406,22768
98407,21931
98408,20566
98409,27840
98416,1478
98418,10371
98421,1239
98422,21343
98424,12132
98430,0
98433,20814
98438,582
98439,5474
98443,5733
98444,36885
98445,33927
98446,12800
98447,1053
98465,7524
98466,29769
98467,16512
98498,29982
98499,33188
98501,45274
98502,35698
98503,40346
98505,561
98506,19198
98512,31422
98513,36059
98516,29443
98520,24086
98524,3551
98526,276
98527,332
98528,11052
98530,641
98531,26669
98532,25572
98533,558
98535,529
98536,153
98537,2181
98538,425
98539,164
98541,10509
98542,668
98544,68
98546,3013
98547,1433
98548,2375
98550,11502
98552,196
98555,586
98556,453
98557,3695
98558,134
98559,60
98560,154
98562,174
98563,8235
98564,2581
98565,448
98566,299
98568,2768
98569,6964
98570,4489
98571,483
98572,795
98575,129
98576,5388
98577,6708
98579,13648
98580,12164
98581,421
98582,640
98583,144
98584,39266
98585,826
98586,1981
98587,1186
98588,1970
98589,8091
98590,376
98591,4419
98592,2090
98593,1185
98595,2995
98596,6990
98597,27233
98601,3312
98602,250
98603,1018
98604,38245
98605,1267
98606,9868
98607,35054
98609,65
98610,3017
98611,10165
98612,3032
98613,543
98614,651
98616,200
98617,1183
98619,465
98620,7655
98621,253
98623,41
98624,1305
98625,7413
98626,26291
98628,356
98629,9586
98631,3704
98632,50721
98635,1865
98638,1555
98639,1397
98640,5140
98641,204
98642,23685
98643,403
98644,887
98645,1811
98647,499
98648,3075
98649,1134
98650,1158
98651,872
98660,12735
98661,48983
98662,37134
98663,15188
98664,24120
98665,28780
98670,113
98671,24857
98672,7370
98673,371
98674,14415
98675,7688
98682,65434
98683,33884
98684,33659
98685,29797
98686,21462
98801,44970
98802,32378
98811,76
98812,5161
98813,2769
98814,525
98815,7804
98816,7067
98817,366
98819,280
98821,434
98822,2253
98823,12393
98824,160
98826,7280
98827,337
98828,2419
98829,716
98830,531
98831,3955
98832,349
98833,240
98834,246
98836,515
98837,46262
98840,4731
98841,8984
98843,2074
98844,4599
98845,138
98846,1074
98847,1885
98848,13392
98849,1220
98850,1964
98851,4472
98852,91
98853,79
98855,6115
98856,2776
98857,3999
98858,1620
98859,230
98860,259
98862,2764
98901,32351
98902,47589
98903,17491
98908,38205
98921,544
98922,6817
98923,1281
98925,608
98926,32085
98930,15339
98932,5409
98933,1292
98934,1164
98935,4049
98936,6846
98937,4423
98938,2112
98939,194
98940,933
98941,988
98942,18511
98943,574
98944,22412
98946,488
98947,3133
98948,13416
98950,209
98951,13821
98952,2347
98953,6841
99001,8859
99003,5302
99004,23064
99005,10253
99006,13711
99008,634
99009,4096
99011,2695
99012,1018
99013,1914
99014,72
99016,18496
99017,167
99018,285
99019,12813
99020,52
99021,9690
99022,8867
99023,685
99025,5272
99026,9347
99027,6556
99029,1785
99030,1131
99031,1441
99032,773
99033,954
99034,327
99036,1579
99037,15907
99039,121
99040,825
99101,1517
99102,544
99103,495
99105,62
99109,5016
99110,1853
99111,4029
99113,722
99114,12649
99115,1227
99116,1476
99117,472
99118,786
99119,1293
99121,135
99122,3989
99123,1063
99124,244
99125,495
99126,900
99128,315
99129,808
99130,805
99131,144
99133,1476
99134,598
99135,288
99136,24
99137,391
99138,1212
99139,1178
99140,479
99141,5737
99143,602
99144,26
99146,81
99147,236
99148,2324
99149,219
99150,373
99151,215
99152,177
99153,499
99154,24
99155,1257
99156,8478
99157,683
99158,595
99159,1424
99160,86
99161,1450
99163,34416
99166,3011
99167,794
99169,2487
99170,1135
99171,975
99173,1892
99174,66
99176,169
99179,541
99180,926
99181,2057
99185,1374
99201,15716
99202,21969
99203,21072
99204,7000
99205,44036
99206,39842
99207,32059
99208,58531
99212,21672
99216,28379
99217,19298
99218,15591
99223,34201
99224,24085
99251,1133
99258,530
99301,85272
99320,10215
99321,669
99322,234
99323,3882
99324,10226
99326,6277
99328,3620
99329,206
99330,1061
99333,39
99335,240
99336,51127
99337,33458
99338,19117
99341,788
99343,3206
99344,18948
99345,159
99346,345
99347,2342
99348,1685
99349,7960
99350,13240
99352,35762
99353,17934
99354,24839
99356,290
99357,4240
99359,155
99360,1428
99361,1908
99362,43249
99363,169
99371,346
99401,286
99402,1814
99403,20224
